"","allowed","maxnodes","trees"
"1",100,0.746361471288701,0.842286319132046
"2",807,0.831039957660757,0.845594072505954
"3",1514,0.843080179941784,0.845594072505954
"4",2221,0.846123313045779,0.845461762370998
"5",2929,0.846255623180736,0.844006350886478
"6",3636,0.843477110346653,0.845461762370998
"7",4343,0.846387933315692,0.844800211696216
"8",5050,0.846387933315692,0.845858692775867
"9",5757,0.845064831966129,0.845594072505954
"10",6464,0.845329452236041,0.844535591426303
"11",7171,0.844932521831172,0.844403281291347
"12",7879,0.843344800211696,0.846255623180736
"13",8586,0.843477110346653,0.84572638264091
"14",9293,0.846387933315692,0.845329452236041
"15",10000,0.846784863720561,0.845064831966129
