"","V1","V2","V3","V4","V5","V6"
"1",1.6663339277246,1.6663339277246,2.01812169303664,2.01812169303664,2.04386023822887,2.04386023822887
"2",2.21391532660961,2.21391532660961,1.77546012787369,1.77546012787369,2.04896401381366,2.04896401381367
"3",2.1061255724618,2.1061255724618,2.08957799302792,2.08957799302792,1.86724466628651,1.86724466628651
"4",2.4265273934907,2.4265273934907,1.90536769889887,1.90536769889888,1.94447191887706,1.94447191887706
"5",2.60728873685859,2.60728873685859,2.10829509079923,2.10829509079923,2.07863633195157,2.07863633195157
"6",2.13989587720231,2.13989587720231,2.17484494866076,2.17484494866076,2.07298592473301,2.07298592473302
"7",1.95035059098178,1.95035059098178,2.23606123331423,2.23606123331423,2.01057114218126,2.01057114218126
"8",1.99751319305583,1.99751319305583,2.18690653544652,2.18690653544652,1.9165302201996,1.91653022019961
"9",2.09148860409255,2.09148860409255,2.01890504650728,2.01890504650728,2.0113766962059,2.0113766962059
"10",1.97931092660774,1.97931092660774,1.77345661066508,1.77345661066508,2.17306810182028,2.17306810182028
"11",1.95031934092558,1.95031934092558,1.86041572982033,1.86041572982034,1.92906306205744,1.92906306205744
"12",2.18949097959943,2.18949097959943,1.65748135430505,1.65748135430505,2.0663850145139,2.0663850145139
"13",2.10989347630466,2.10989347630466,1.7408073866765,1.7408073866765,2.02636866396824,2.02636866396825
"14",2.02242136677416,2.02242136677416,2.00946890206489,2.0094689020649,1.94991579205699,1.94991579205699
"15",2.21769387336971,2.21769387336971,2.02727076563008,2.02727076563008,1.89302930269469,1.89302930269469
"16",1.93479120800372,1.93479120800372,2.04791035987718,2.04791035987718,1.89457732428519,1.89457732428519
"17",2.44848649666097,2.44848649666097,2.15593622666588,2.15593622666588,2.02876209057798,2.02876209057798
"18",2.00797889760304,2.00797889760303,1.8710155085387,1.8710155085387,2.08330415027676,2.08330415027676
"19",2.23769767394933,2.23769767394933,2.19958328144852,2.19958328144852,2.0404005790343,2.0404005790343
"20",2.1885300194242,2.1885300194242,2.11649072163964,2.11649072163964,1.73168960184081,1.73168960184082
"21",1.81837361125389,1.81837361125389,2.10119249760998,2.10119249760998,2.05501991235051,2.05501991235051
"22",1.95494109742592,1.95494109742592,2.10745701908191,2.10745701908191,1.93279591098596,1.93279591098596
"23",1.95404685574113,1.95404685574113,2.17672101874107,2.17672101874107,2.0357086482879,2.0357086482879
"24",1.87393858725398,1.87393858725398,2.027832021162,2.027832021162,2.04126907286892,2.04126907286892
"25",2.06573870330016,2.06573870330017,2.00112786727482,2.00112786727482,1.97348261838071,1.97348261838071
"26",2.24920903633307,2.24920903633307,2.09638858686106,2.09638858686105,2.02476580354536,2.02476580354536
"27",1.71127614098428,1.71127614098428,1.96205733530113,1.96205733530113,1.87738829451808,1.87738829451808
"28",1.87426652982381,1.87426652982381,2.10722804468764,2.10722804468764,2.01475290648728,2.01475290648728
"29",1.85004429466653,1.85004429466653,2.07457914197024,2.07457914197024,2.08307167848344,2.08307167848343
"30",2.15768465445963,2.15768465445963,1.96495166599595,1.96495166599595,2.03964694317277,2.03964694317277
"31",1.99395612463613,1.99395612463613,2.02334052994264,2.02334052994264,2.00753714547841,2.00753714547841
"32",2.35396493463882,2.35396493463882,2.13104937411114,2.13104937411114,1.94903087722191,1.94903087722191
"33",1.96785329404831,1.96785329404831,2.06360382547439,2.06360382547439,2.21113092496201,2.21113092496201
"34",1.82945495301623,1.82945495301623,2.07007050449851,2.07007050449851,1.991914673853,1.991914673853
"35",1.98798857937342,1.98798857937342,2.18846807414675,2.18846807414675,1.9681732284647,1.9681732284647
"36",2.37520609239039,2.37520609239039,1.95563169222863,1.95563169222863,2.11924768282324,2.11924768282324
"37",1.65846903281879,1.65846903281879,2.06142155985425,2.06142155985425,1.91332496233339,1.91332496233339
"38",1.80734250341864,1.80734250341864,1.9821151164375,1.9821151164375,1.76078642544531,1.76078642544531
"39",1.97237195797437,1.97237195797437,1.94963321844037,1.94963321844037,2.02689035361669,2.02689035361669
"40",2.10160645867564,2.10160645867564,2.08884404903721,2.08884404903721,2.0545487036777,2.0545487036777
"41",1.92002198673089,1.92002198673089,2.00189582261083,2.00189582261083,2.13032319239271,2.13032319239271
"42",2.20684877701726,2.20684877701726,2.09175209406072,2.09175209406072,1.99095793482162,1.99095793482162
"43",2.15472615168237,2.15472615168237,1.9145852935158,1.9145852935158,1.7209656180537,1.7209656180537
"44",1.99041565918525,1.99041565918525,2.00216287343173,2.00216287343173,2.10082573177189,2.10082573177189
"45",2.20967163119935,2.20967163119935,1.89604146154229,1.89604146154229,2.02007171049578,2.02007171049578
"46",2.00908214437941,2.00908214437941,1.97950381961501,1.97950381961502,2.24706624283925,2.24706624283925
"47",1.85705238077301,1.85705238077301,2.07434204790115,2.07434204790115,2.00369900449102,2.00369900449102
"48",1.94417127224667,1.94417127224667,2.07104519772672,2.07104519772672,2.06013637829763,2.06013637829763
"49",2.19526637492924,2.19526637492924,2.21729061034375,2.21729061034376,1.89103149164715,1.89103149164715
"50",1.9364741221101,1.9364741221101,1.88929757672328,1.88929757672328,2.11699376572,2.11699376572
"51",1.95084092059266,1.95084092059266,1.72187146389346,1.72187146389346,2.13449660910939,2.13449660910939
"52",1.75675848228464,1.75675848228464,1.98166947892207,1.98166947892207,1.92601605651836,1.92601605651836
"53",2.25187140843793,2.25187140843793,1.94354759592076,1.94354759592076,2.13820227623717,2.13820227623717
"54",1.74646744013001,1.74646744013001,1.85873232626734,1.85873232626734,1.87301143591768,1.87301143591768
"55",1.93976568169425,1.93976568169424,2.11941765069611,2.11941765069611,1.80919855755774,1.80919855755774
"56",2.11867064186768,2.11867064186768,2.15654989200718,2.15654989200718,1.92470844139728,1.92470844139728
"57",1.68011887540148,1.68011887540148,1.97907139188478,1.97907139188478,1.79105313780236,1.79105313780236
"58",1.87028707711576,1.87028707711576,1.89498705906339,1.89498705906339,1.9777414595599,1.9777414595599
"59",2.01547275333367,2.01547275333367,1.68253648294018,1.68253648294018,1.99232217789691,1.99232217789691
"60",1.68389568138485,1.68389568138485,1.87129299863052,1.87129299863053,1.90268319519964,1.90268319519964
"61",2.07282571906677,2.07282571906677,1.98767174753977,1.98767174753977,1.98531473026886,1.98531473026886
"62",2.082419895298,2.082419895298,1.96521951354256,1.96521951354256,1.97664697218692,1.97664697218692
"63",1.82492984110911,1.82492984110911,1.97356860992012,1.97356860992012,2.22038227245108,2.22038227245108
"64",1.79869438219525,1.79869438219525,1.82245105178071,1.82245105178071,2.16699949531589,2.16699949531589
"65",2.2546468190574,2.2546468190574,2.04265244181766,2.04265244181766,2.00841124610151,2.00841124610151
"66",2.21561280185673,2.21561280185673,2.00933326680581,2.00933326680581,2.08470333458189,2.08470333458189
"67",1.57452895442677,1.57452895442677,2.07711628888047,2.07711628888047,2.04208397473232,2.04208397473232
"68",2.12929424025559,2.12929424025559,2.06245550339506,2.06245550339506,2.00111190655235,2.00111190655235
"69",1.91928380152459,1.91928380152459,2.1352902545328,2.1352902545328,2.03437492710508,2.03437492710507
"70",2.22687804502378,2.22687804502378,1.92493024238203,1.92493024238203,1.88487926332913,1.88487926332913
"71",2.28681034618722,2.28681034618722,2.33631019473289,2.33631019473288,1.96337967207882,1.96337967207882
